country,age_group,sex,concert_months,no_concert_months,concert_avg_yoy,no_concert_avg_yoy,uplift_pct_point,t_statistic,binary_p_value,correlation,intensity_p_value,observations,intensity_result,binary_result,is_top10
Australia,Age 14 & Below,Female,125,38,6.66,9.05,-2.39,-0.824,0.4132,-0.025,0.7492,163,Not Significant,Not Significant,1
Australia,Age 14 & Below,Male,125,38,6.83,9.35,-2.52,-0.945,0.3484,-0.006,0.9393,163,Not Significant,Not Significant,1
Australia,Age 15 - 19,Female,125,38,5.54,4.35,1.19,0.338,0.7367,0.109,0.1679,163,Not Significant,Not Significant,1
Australia,Age 15 - 19,Male,125,38,5.69,2.3,3.39,1.146,0.2553,0.18,0.0212,163,Significant Positive,Not Significant,1
Australia,Age 20 - 24,Female,125,38,3.97,-1.83,5.79,2.256,0.0276,0.228,0.0035,163,Significant Positive,Significant Positive,1
Australia,Age 20 - 24,Male,125,38,3.58,-2.42,6.0,2.51,0.0144,0.206,0.0084,163,Significant Positive,Significant Positive,1
Australia,Age 25 - 34,Female,125,38,4.34,1.98,2.35,1.095,0.2773,0.135,0.0861,163,Not Significant,Not Significant,1
Australia,Age 25 - 34,Male,125,38,2.83,0.21,2.62,1.256,0.2133,0.134,0.0888,163,Not Significant,Not Significant,1
Australia,Age 35 - 44,Female,125,38,5.81,4.01,1.8,0.925,0.3588,0.137,0.0821,163,Not Significant,Not Significant,1
Australia,Age 35 - 44,Male,125,38,3.34,1.53,1.82,1.142,0.2579,0.154,0.0503,163,Not Significant,Not Significant,1
Australia,Age 45 - 54,Female,125,38,4.08,2.03,2.04,1.173,0.2449,0.179,0.0221,163,Significant Positive,Not Significant,1
Australia,Age 45 - 54,Male,125,38,2.98,0.82,2.16,1.475,0.1451,0.2,0.0106,163,Significant Positive,Not Significant,1
Australia,Age 55 - 64,Female,125,38,4.41,4.25,0.16,0.092,0.9269,0.105,0.1808,163,Not Significant,Not Significant,1
Australia,Age 55 - 64,Male,125,38,2.98,2.17,0.81,0.542,0.5892,0.16,0.0415,163,Significant Positive,Not Significant,1
Australia,Age 65 & Above,Female,125,38,10.38,11.69,-1.31,-0.426,0.6719,-0.031,0.692,163,Not Significant,Not Significant,1
Australia,Age 65 & Above,Male,125,38,8.67,8.95,-0.28,-0.112,0.9116,-0.017,0.831,163,Not Significant,Not Significant,1
