year,country,age_group,sex,demographic_visitors,total_market_visitors,demographic_share_pct,avg_rank,best_rank,worst_rank,years_observed
2008,Australia,Age 45 - 54,Male,94972.0,787373.0,12.06,1.31,1,2,16
2008,Australia,Age 35 - 44,Male,86026.0,787373.0,10.93,1.69,1,2,16
2008,Australia,Age 55 - 64,Male,79202.0,787373.0,10.06,4.44,3,9,16
2008,Australia,Age 25 - 34,Male,73264.0,787373.0,9.3,5.13,3,9,16
2008,Australia,Age 45 - 54,Female,65046.0,787373.0,8.26,6.31,4,8,16
2008,Australia,Age 55 - 64,Female,61163.0,787373.0,7.77,7.5,6,12,16
2008,Australia,Age 25 - 34,Female,61035.0,787373.0,7.75,6.31,4,10,16
2008,Australia,Age 35 - 44,Female,52883.0,787373.0,6.72,6.75,3,10,16
2008,Australia,Age 65 & Above,Male,42523.0,787373.0,5.4,6.75,3,9,16
2008,Australia,Age 65 & Above,Female,33463.0,787373.0,4.25,9.38,5,11,16
2008,Australia,Age 14 & Below,Male,33184.0,787373.0,4.21,10.56,8,11,16
2008,Australia,Age 14 & Below,Female,31890.0,787373.0,4.05,11.88,10,12,16
2008,Australia,Age 20 - 24,Female,24039.0,787373.0,3.05,13.0,13,13,16
2008,Australia,Age 20 - 24,Male,21516.0,787373.0,2.73,14.0,14,14,16
2008,Australia,Age 15 - 19,Female,14418.0,787373.0,1.83,15.0,15,15,16
2008,Australia,Age 15 - 19,Male,12749.0,787373.0,1.62,16.0,16,16,16
2009,Australia,Age 45 - 54,Male,93196.0,792383.0,11.76,1.31,1,2,16
2009,Australia,Age 35 - 44,Male,84847.0,792383.0,10.71,1.69,1,2,16
2009,Australia,Age 55 - 64,Male,77949.0,792383.0,9.84,4.44,3,9,16
2009,Australia,Age 25 - 34,Male,73791.0,792383.0,9.31,5.13,3,9,16
2009,Australia,Age 45 - 54,Female,65301.0,792383.0,8.24,6.31,4,8,16
2009,Australia,Age 25 - 34,Female,62422.0,792383.0,7.88,6.31,4,10,16
2009,Australia,Age 55 - 64,Female,60656.0,792383.0,7.65,7.5,6,12,16
2009,Australia,Age 35 - 44,Female,53784.0,792383.0,6.79,6.75,3,10,16
2009,Australia,Age 65 & Above,Male,43423.0,792383.0,5.48,6.75,3,9,16
2009,Australia,Age 14 & Below,Male,35344.0,792383.0,4.46,10.56,8,11,16
2009,Australia,Age 65 & Above,Female,34887.0,792383.0,4.4,9.38,5,11,16
2009,Australia,Age 14 & Below,Female,34600.0,792383.0,4.37,11.88,10,12,16
2009,Australia,Age 20 - 24,Female,23531.0,792383.0,2.97,13.0,13,13,16
2009,Australia,Age 20 - 24,Male,21399.0,792383.0,2.7,14.0,14,14,16
2009,Australia,Age 15 - 19,Female,14286.0,792383.0,1.8,15.0,15,15,16
2009,Australia,Age 15 - 19,Male,12967.0,792383.0,1.64,16.0,16,16,16
2010,Australia,Age 45 - 54,Male,98357.0,845623.0,11.63,1.31,1,2,16
2010,Australia,Age 35 - 44,Male,91707.0,845623.0,10.84,1.69,1,2,16
2010,Australia,Age 55 - 64,Male,84074.0,845623.0,9.94,4.44,3,9,16
2010,Australia,Age 25 - 34,Male,76901.0,845623.0,9.09,5.13,3,9,16
2010,Australia,Age 45 - 54,Female,67342.0,845623.0,7.96,6.31,4,8,16
2010,Australia,Age 55 - 64,Female,66428.0,845623.0,7.86,7.5,6,12,16
2010,Australia,Age 25 - 34,Female,65215.0,845623.0,7.71,6.31,4,10,16
2010,Australia,Age 35 - 44,Female,57181.0,845623.0,6.76,6.75,3,10,16
