year,month,month_date,country,visitor_arrivals,is_top10,previous_year_arrivals,visitor_yoy_pct
2008,1,20080101,Australia,82778.0,1,,
2008,2,20080201,Australia,52457.0,1,,
2008,3,20080301,Australia,61681.0,1,,
2008,4,20080401,Australia,63079.0,1,,
2008,5,20080501,Australia,65901.0,1,,
2008,6,20080601,Australia,73802.0,1,,
2008,7,20080701,Australia,79776.0,1,,
2008,8,20080801,Australia,65465.0,1,,
2008,9,20080901,Australia,72816.0,1,,
2008,10,20081001,Australia,75866.0,1,,
2008,11,20081101,Australia,60257.0,1,,
2008,12,20081201,Australia,79278.0,1,,
2009,1,20090101,Australia,80008.0,1,82778.0,-3.35
2009,2,20090201,Australia,51144.0,1,52457.0,-2.5
2009,3,20090301,Australia,54821.0,1,61681.0,-11.12
2009,4,20090401,Australia,65046.0,1,63079.0,3.12
2009,5,20090501,Australia,59136.0,1,65901.0,-10.27
2009,6,20090601,Australia,65796.0,1,73802.0,-10.85
2009,7,20090701,Australia,79439.0,1,79776.0,-0.42
2009,8,20090801,Australia,67152.0,1,65465.0,2.58
2009,9,20090901,Australia,73407.0,1,72816.0,0.81
2009,10,20091001,Australia,81622.0,1,75866.0,7.59
2009,11,20091101,Australia,68570.0,1,60257.0,13.8
2009,12,20091201,Australia,84158.0,1,79278.0,6.16
2010,1,20100101,Australia,89584.0,1,80008.0,11.97
2010,2,20100201,Australia,55364.0,1,51144.0,8.25
2010,3,20100301,Australia,63659.0,1,54821.0,16.12
2010,4,20100401,Australia,70079.0,1,65046.0,7.74
2010,5,20100501,Australia,63517.0,1,59136.0,7.41
2010,6,20100601,Australia,74597.0,1,65796.0,13.38
2010,7,20100701,Australia,87289.0,1,79439.0,9.88
2010,8,20100801,Australia,68222.0,1,67152.0,1.59
2010,9,20100901,Australia,80293.0,1,73407.0,9.38
2010,10,20101001,Australia,77097.0,1,81622.0,-5.54
2010,11,20101101,Australia,64152.0,1,68570.0,-6.44
2010,12,20101201,Australia,86705.0,1,84158.0,3.03
2011,1,20110101,Australia,98023.0,1,89584.0,9.42
2011,2,20110201,Australia,58135.0,1,55364.0,5.01
2011,3,20110301,Australia,65885.0,1,63659.0,3.5
2011,4,20110401,Australia,85297.0,1,70079.0,21.72
2011,5,20110501,Australia,72365.0,1,63517.0,13.93
2011,6,20110601,Australia,84371.0,1,74597.0,13.1
2011,7,20110701,Australia,94690.0,1,87289.0,8.48
2011,8,20110801,Australia,71953.0,1,68222.0,5.47
2011,9,20110901,Australia,86076.0,1,80293.0,7.2
2011,10,20111001,Australia,84509.0,1,77097.0,9.61
2011,11,20111101,Australia,70012.0,1,64152.0,9.13
